inlf,hours,kidslt6,kidsge6,age,educ,wage,repwage,hushrs,husage,huseduc,huswage,faminc,mtr,motheduc,fatheduc,unem,city,exper,nwifeinc
1,1610,1,0,32,12,3.354000092,2.650000095,2708,34,12,4.028800011,16310,0.721499979,12,7,5,0,14,10.91005993
1,1656,0,2,30,12,1.388900042,2.650000095,2310,30,9,8.441599846,21800,0.661499977,7,7,11,1,5,19.49998093
1,1980,1,3,35,12,4.545499802,4.039999962,3072,40,12,3.580699921,21040,0.691500008,12,7,5,0,15,12.03991032
1,456,0,3,34,12,1.096500039,3.25,1920,53,10,3.541699886,7300,0.781499982,7,7,5,0,6,6.799995899
1,1568,1,2,31,14,4.591800213,3.599999905,2000,32,12,10,27300,0.621500015,12,14,9.5,1,7,20.1000576
1,2032,0,0,54,12,4.742099762,4.699999809,1040,57,11,6.710599899,19495,0.691500008,14,7,7.5,1,33,9.859053612
1,1440,0,2,37,16,8.333299637,5.949999809,2670,37,12,3.427700043,21152,0.691500008,14,7,5,0,11,9.152048111
1,1020,0,0,54,12,7.843100071,9.979999542,4120,53,8,2.548500061,18900,0.691500008,3,3,5,0,35,10.90003777
1,1458,0,2,48,12,2.126199961,0,1995,52,4,4.220600128,20405,0.75150001,7,7,3,0,24,17.30500031
1,1600,0,2,39,12,4.6875,4.150000095,2100,43,12,5.714300156,20425,0.691500008,7,7,5,0,21,12.92500019
1,1969,0,1,33,12,4.063000202,4.300000191,2450,34,12,9.795900345,32300,0.581499994,12,3,5,0,15,24.29995346
1,1960,0,1,42,11,4.591800213,4.579999924,2375,47,14,8,28700,0.621500015,14,7,5,0,14,19.70007133
1,240,1,2,30,12,2.083300114,0,2830,33,16,5.30039978,15500,0.721499979,16,16,5,0,0,15.00000763
1,997,0,2,43,12,2.266799927,3.5,3317,46,12,4.341300011,16860,0.721499979,10,10,7.5,1,14,14.60000038
1,1848,0,1,43,10,3.679699898,3.380000114,2024,45,17,10.86999989,31431,0.581499994,7,7,7.5,1,6,24.63091469
1,1224,0,3,35,11,1.347200036,0,1694,38,12,9.149900436,19180,0.721499979,16,10,7.5,1,9,17.53102684
1,1400,0,2,43,12,3.214299917,4,2156,45,12,6.122399807,18600,0.691500008,10,7,7.5,1,20,14.09998035
1,640,0,5,39,12,5.175000191,2.25,2250,40,12,6.149799824,19151,0.721499979,12,12,7.5,1,6,15.83899975
1,2000,0,0,45,12,2,2.299999952,2024,51,11,6.916999817,18100,0.691500008,7,7,5,1,23,14.10000038
1,1324,0,4,35,12,7.552899837,3.940000057,2123,40,10,4.710299969,20300,0.691500008,12,7,5,0,9,10.29996109
1,2215,0,2,42,16,3.505199909,3.299999952,4160,48,16,3.131000042,30419,0.621500015,10,16,7.5,0,5,22.65498161
1,1680,0,0,30,12,3.571399927,3.799999952,2000,35,12,4,14090,0.721499979,12,10,3,0,11,8.090047836
1,1600,0,0,48,13,3.25,3.25999999,2420,52,17,7.222700119,22679,0.661499977,7,3,5,1,18,17.47900009
1,800,0,0,45,12,3.25,2.200000048,1150,53,17,7.965199947,12160,0.721499979,7,7,11,0,15,9.56000042
1,1955,1,1,31,12,2.154500008,2.299999952,2024,31,12,4.088399887,12487,0.75150001,12,7,5,1,4,8.274952888
1,660,0,2,43,17,3.787899971,0,1904,43,17,14.18099976,29850,0.581499994,16,14,9.5,1,21,27.34998512
1,525,0,0,59,12,4,3.180000067,2448,53,16,6.535900116,18100,0.691500008,3,7,9.5,1,31,16
1,1904,0,3,32,12,4.726900101,6.070000172,2000,33,13,8.5,26000,0.661499977,3,7,11,1,9,16.99998283
1,1516,1,0,31,17,7.255899906,6,2390,30,17,6.276199818,26100,0.621500015,12,12,5,0,7,15.10005569
1,346,0,0,42,12,5.867099762,6.389999866,1920,47,10,5.208300114,17730,0.721499979,12,12,9.5,0,7,15.6999836
1,1040,0,0,50,11,1.538499951,0,1840,53,10,2.782099962,6719,0.75150001,7,7,7.5,1,32,5.118959904
1,732,0,0,59,16,2.459000111,2.5,3360,57,17,4.910699844,18550,0.691500008,3,3,14,1,11,16.75001144
1,1880,0,2,36,13,5.851099968,5.199999809,2284,35,13,5.866899967,24600,0.661499977,12,10,7.5,0,16,13.59993172
1,1680,0,1,51,12,3.571399927,3.289999962,1875,50,8,7.519999981,23100,0.691500008,7,14,5,1,14,17.10004807
1,2081,0,3,45,16,3.806799889,4.190000057,2140,47,17,7.54489994,24656,0.661499977,12,12,5,1,27,16.73404884
1,690,0,1,42,11,2.463799953,0,1896,44,8,5.538000107,15897,0.75150001,10,3,7.5,0,0,14.19697762
1,4210,0,0,46,12,2.375299931,4.630000114,1040,49,16,6.923099995,20320,0.691500008,3,3,11,1,17,10.3199873
1,2205,0,1,46,10,4.535099983,4.550000191,2200,52,12,5,21384,0.661499977,10,3,11,0,28,11.38410473
1,1952,0,0,51,14,5.618299961,5.599999905,1952,58,12,7.306399822,25561,0.621500015,7,7,14,0,24,14.59407806
1,1302,0,0,30,17,14.63099957,9.529999733,1560,30,17,11.21800041,36550,0.579999983,14,17,5,1,11,17.50043869
